plotnr,Date,totalvolume,diameter,height,treat
1,4/15/2012,154.9621943,15.36290323,15.88543939,IL
10,4/15/2012,145.0881232,15.9183908,16.163628,I
11,4/15/2012,166.60855,16.91466667,17.02290678,IL
14,4/15/2012,68.78545535,11.77282609,11.5268332,F
15,4/15/2012,141.279438,15.34157303,15.91808673,IL
16,4/15/2012,144.1605035,16.28026316,16.42330759,I
17,4/15/2012,70.78294218,12.76419753,12.29555396,C
2,4/15/2012,155.0960168,16.68987342,16.74587909,I
22,4/15/2012,69.54955331,12.59263158,12.07202656,F
23,4/15/2012,138.9083233,15.6702381,16.06605761,IL
24,4/15/2012,97.16524823,13.13804348,14.02956371,I
25,4/15/2012,48.54259052,11.01325301,11.05561947,C
3,4/15/2012,62.18631054,11.42072072,11.35438078,F
7,4/15/2012,74.40837437,12.56483516,12.24171476,C
8,4/15/2012,73.85372317,12.72580645,12.23031078,F
9,4/15/2012,77.4168027,13.44470588,12.85297994,C
