"fertilization","enclosure","elymus_nutans","poa_crymophila","kobresia_setchwanensis","anemone_rivularis","potentilla_fragarioides","stipa_aliena","astragalus_polycladus","anemone_obtusiloba"
0,1,3.53,0.89,15.07,5.12,3.62,3.8,2.08,3.8
0,1,4.85,0.6,14.35,13.65,3.62,3.8,2.08,3.8
0,1,2.2,0,12.92,0,2.36,0,2.08,2.66
0,1,2.87,0.3,10.76,18.76,3.15,1.52,0,2.66
0,1,3.53,1.79,17.94,5.12,2.05,6.08,1.04,2.85
0,1,2.42,2.53,12.92,17.06,2.52,5.32,8.3,2.47
0,1,4.41,4.02,11.48,6.82,2.05,4.56,0,3.23
0,1,1.32,1.93,14.35,8.53,1.57,7.6,0,0.38
1,1,17.16,20.54,2.09,7.82,0.86,0,0,1.89
1,1,24.92,19.81,2.79,0,0.22,0,0,0
1,1,17.97,21.27,12.55,10.43,1.73,0,0,0.38
1,1,22.87,22.01,5.58,2.61,0.22,0,0,0.19
1,1,15.52,28.61,8.37,2.61,0.22,0,0,1.32
1,1,15.11,42.55,2.09,13.04,0.22,0,0,0.38
1,1,18.38,33.01,0,2.61,1.29,0.81,0,1.32
1,1,21.65,26.41,5.58,5.22,0,0,0,0.38
0,0,2.93,0,6.65,0,1.25,1.27,0.68,1.24
0,0,4.69,0,0,6.28,0.42,0.42,0,1.34
0,0,2.93,0,6.65,0,1.39,0,1.37,2.06
0,0,2.79,0.09,7.35,2.35,2.65,0.42,8.22,1.45
0,0,3.96,1.07,4.9,9.42,1.25,0.42,0,1.45
0,0,4.54,0.54,6.65,7.06,1.67,2.54,2.74,0.21
0,0,3.08,0.18,9.8,7.85,2.65,1.27,2.74,1.14
0,0,1.61,0,8.05,5.49,3.07,2.11,0.68,0.21
1,0,4.57,1.7,3.35,7.05,2.87,0.44,4.18,0.18
1,0,5,0.34,4.26,3.52,2.32,1.76,0.84,0.45
1,0,5.15,0.34,3.05,1.76,3.01,3.09,4.18,0.36
1,0,4.29,0,3.05,6.17,1.64,0.88,0,1.09
1,0,10.01,0.23,3.66,2.64,1.64,0,6.68,2
1,0,8.43,1.82,5.18,5.29,2.73,0,3.34,1.18
1,0,3.86,3.4,0,0,0,0,0,2
1,0,4.29,0.68,5.48,0,3.42,5.29,1.67,0.09
